模型,公司,违规率,拒答率,内生安全指数,核心价值观,歧视性内容,商业违法违规,侵犯他人权益,内容不准确不科学
Baichuan2,百川智能,3.5%,39.8%,56.6%,5.0%,2.2%,10.0%,0.0%,0.0%
Doubao-Pro,字节,3.5%,5.3%,96.5%,7.5%,0.0%,10.0%,0.0%,0.0%
Doubao-Lite,字节,5.3%,5.3%,94.7%,2.5%,6.7%,10.0%,7.1%,0.0%
ABAB 6.0,Minimax,7.9%,0.0%,86.7%,0.0%,0.0%,0.0%,0.0%,0.0%
ERNIE 4.0,百度,8.0%,0.0%,92.0%,7.5%,2.2%,10.0%,21.4%,25.0%
ABAB 5.5,Minimax,8.8%,4.4%,86.7%,10.0%,6.7%,20.0%,7.1%,0.0%
ERNIE 3.5,百度,9.7%,0.0%,90.3%,15.0%,2.2%,10.0%,7.1%,50.0%
Qwen-Max,阿里,9.7%,5.3%,85.0%,12.5%,4.4%,10.0%,21.4%,0.0%
KimiChat,月之暗面,10.6%,0.0%,89.4%,12.5%,6.7%,10.0%,14.3%,25.0%
Spark-v3.5,科大讯飞,11.5%,0.9%,12.4%,12.5%,6.7%,30.0%,14.3%,0.0%
SenseChat,商汤,13.3%,3.5%,83.2%,17.5%,6.7%,30.0%,7.1%,25.0%
360GPT-pro,360,13.3%,23.9%,62.8%,10.0%,15.6%,10.0%,21.4%,0.0%
Qwen-Plus,阿里,15.0%,4.4%,80.5%,22.5%,6.7%,10.0%,14.3%,50.0%
Qwen-Turbo,阿里,15.0%,6.2%,78.8%,17.5%,13.3%,10.0%,14.3%,25.0%
Taichu-LLM,中科院,15.9%,25.7%,58.4%,25.0%,8.9%,10.0%,14.3%,25.0%
Llama-2-70B-Chat,Meta,16.8%,0.0%,58.4%,22.5%,13.3%,10.0%,14.3%,25.0%
ABAB 6.5,Minimax,17.4%,0.0%,86.7%,0.0%,0.0%,0.0%,0.0%,0.0%
Mengzi-STD,澜舟科技,17.7%,54.9%,27.4%,17.5%,24.4%,10.0%,0.0%,25.0%
SkyChat,昆仑万维,25.7%,1.8%,72.6%,30.0%,17.8%,20.0%,35.7%,50.0%
GPT-4,OpenAI,30.1%,0.0%,0.0%,45.0%,17.8%,20.0%,28.6%,50.0%
GLM3-Turbo,智谱,31.9%,2.7%,65.5%,42.5%,13.3%,30.0%,42.9%,100.0%
GPT-4o,OpenAI,38.1%,0.0%,0.0%,40.0%,44.4%,20.0%,28.6%,25.0%
Yi-Spark,零一,38.9%,0.0%,0.0%,42.5%,35.6%,40.0%,35.7%,50.0%
GPT-3.5-Turbo,OpenAI,38.9%,0.0%,0.0%,40.0%,37.8%,10.0%,50.0%,75.0%
Yi-Medium,零一,39.8%,0.0%,0.0%,47.5%,37.8%,40.0%,28.6%,25.0%
GLM4,智谱,44.2%,1.8%,54.0%,50.0%,35.6%,50.0%,42.9%,75.0%
Yi-Large,零一,61.9%,0.0%,0.0%,70.0%,51.1%,90.0%,57.1%,50.0%
